epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.93825,2.17364,3.41376,2.40648,0.02478,0.21186,0.01503,0.00357,1.95975,3.26242,2.63548,2e-05,2e-05,2e-05
2,4.59477,2.23206,3.49452,2.47218,0.02418,0.21186,0.0147,0.00402,1.97615,3.25775,2.63925,5.9802e-05,5.9802e-05,5.9802e-05
3,5.23252,2.21616,3.48545,2.42856,0.03526,0.33051,0.02352,0.00578,1.84137,3.11622,2.52676,9.934e-05,9.934e-05,9.934e-05
4,5.84069,2.01632,3.30561,2.35311,0.04177,0.44068,0.03535,0.01323,1.66062,2.85256,2.37114,0.000138614,0.000138614,0.000138614
5,6.46243,1.84879,3.05519,2.19947,0.25624,0.32992,0.22654,0.09847,1.42916,2.42767,2.11916,0.000177624,0.000177624,0.000177624
6,7.11729,1.67182,2.75354,2.01271,0.5703,0.50615,0.53383,0.23177,1.35934,1.84673,1.93648,0.00021637,0.00021637,0.00021637
7,7.76242,1.54737,2.38604,1.80065,0.57889,0.61864,0.59711,0.29083,1.36639,1.85419,1.88727,0.000254852,0.000254852,0.000254852
8,8.3956,1.47277,1.97064,1.77233,0.51702,0.72034,0.6141,0.31786,1.3666,2.79214,1.99632,0.00029307,0.00029307,0.00029307
9,8.97922,1.37953,1.7367,1.67447,0.48547,0.74576,0.62005,0.33048,1.37762,3.31538,2.09635,0.000331024,0.000331024,0.000331024
10,9.59481,1.34448,1.56532,1.65227,0.51853,0.82203,0.6584,0.35108,1.38802,3.61587,2.15638,0.000368714,0.000368714,0.000368714
11,10.179,1.35864,1.41274,1.74446,0.49702,0.85593,0.67941,0.32348,1.42619,4.10802,2.26268,0.00040614,0.00040614,0.00040614
12,10.7781,1.302,1.35346,1.64969,0.48972,0.87288,0.67659,0.3419,1.37105,4.24011,2.26238,0.000443302,0.000443302,0.000443302
13,11.3833,1.26496,1.26631,1.69179,0.51823,0.92373,0.70352,0.39645,1.22725,3.76512,2.08987,0.0004802,0.0004802,0.0004802
14,11.9978,1.2421,1.18894,1.63795,0.57173,0.91525,0.76052,0.48198,1.12804,2.92723,1.93053,0.000516834,0.000516834,0.000516834
15,12.6174,1.21133,1.15997,1.684,0.6194,0.88266,0.79236,0.5323,1.08038,2.27371,1.84889,0.000553204,0.000553204,0.000553204
16,13.2222,1.18134,1.09811,1.63446,0.6598,0.87111,0.83247,0.55754,1.08491,1.96647,1.8709,0.00058931,0.00058931,0.00058931
17,13.7958,1.22281,1.21164,1.72604,0.68139,0.85184,0.84036,0.56601,1.07554,1.82939,1.85095,0.000625152,0.000625152,0.000625152
18,14.3791,1.09003,1.0261,1.55061,0.70232,0.83898,0.84342,0.56862,1.0931,1.59109,1.88007,0.00066073,0.00066073,0.00066073
19,14.9792,1.11294,1.04086,1.62335,0.71874,0.8013,0.84298,0.54881,1.14875,1.5138,1.97528,0.000696044,0.000696044,0.000696044
20,15.5818,1.1617,1.16522,1.75777,0.69902,0.86601,0.84882,0.56262,1.0928,1.39961,1.90894,0.000731094,0.000731094,0.000731094
21,16.195,1.10453,1.08861,1.70976,0.71934,0.86882,0.86244,0.61344,0.98631,1.23264,1.73398,0.00076588,0.00076588,0.00076588
22,16.7986,1.15217,1.0338,1.65636,0.71679,0.85797,0.85501,0.62904,0.9532,1.19697,1.62534,0.000800402,0.000800402,0.000800402
23,17.4135,1.14223,1.02125,1.56686,0.75932,0.82883,0.85532,0.62506,0.97755,1.30528,1.59993,0.00083466,0.00083466,0.00083466
24,18.0008,1.09015,0.96258,1.52646,0.71353,0.86441,0.86119,0.6223,0.9814,1.43707,1.6368,0.000868654,0.000868654,0.000868654
25,18.5919,1.08789,0.97171,1.54343,0.68159,0.87077,0.86022,0.6097,0.9918,1.82777,1.76472,0.000902384,0.000902384,0.000902384
26,19.1626,1.00617,0.88573,1.50066,0.61962,0.91525,0.82649,0.56032,1.04863,2.33943,1.96453,0.00093585,0.00093585,0.00093585
27,19.7792,1.06142,0.91844,1.59429,0.57822,0.92373,0.82416,0.5616,1.05063,2.64728,2.00277,0.000969052,0.000969052,0.000969052
28,20.3138,1.05598,0.88974,1.62044,0.57822,0.92373,0.82416,0.5616,1.05063,2.64728,2.00277,0.00100199,0.00100199,0.00100199
29,20.8501,1.02089,0.86824,1.49091,0.61618,0.91525,0.80997,0.5721,0.96494,2.47226,1.80043,0.00103466,0.00103466,0.00103466
30,21.3792,1.04772,0.84268,1.52647,0.64602,0.88983,0.82412,0.61594,0.92613,2.13547,1.59395,0.00106707,0.00106707,0.00106707
31,21.8679,1.01672,0.84193,1.48827,0.64602,0.88983,0.82412,0.61594,0.92613,2.13547,1.59395,0.00109922,0.00109922,0.00109922
32,22.3834,1.01497,0.8574,1.48527,0.68083,0.90678,0.85565,0.62895,0.94319,1.82845,1.59973,0.0011311,0.0011311,0.0011311
33,22.9409,0.97729,0.81048,1.50673,0.71042,0.85241,0.87958,0.65227,0.93972,1.50568,1.64957,0.00116272,0.00116272,0.00116272
34,23.4655,1.06892,0.86514,1.5243,0.71042,0.85241,0.87958,0.65227,0.93972,1.50568,1.64957,0.00119407,0.00119407,0.00119407
