epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,46.239,0.79469,0.57244,1.39337,0.82252,0.79645,0.86324,0.61804,0.99907,0.84907,1.64868,0.0017294,0.0017294,0.0017294
43,47.2049,0.77802,0.59315,1.43191,0.85182,0.77744,0.86934,0.62945,0.98749,0.83925,1.64493,0.0017228,0.0017228,0.0017228
44,48.1889,0.80216,0.60341,1.3926,0.8486,0.80328,0.87941,0.64324,0.98113,0.79905,1.64586,0.0017162,0.0017162,0.0017162
45,49.1738,0.78813,0.58122,1.40404,0.84115,0.81557,0.87907,0.65128,0.96004,0.79295,1.6353,0.0017096,0.0017096,0.0017096
46,50.1603,0.73793,0.57583,1.38238,0.82388,0.80738,0.8702,0.63476,0.97356,0.83921,1.68892,0.001703,0.001703,0.001703
47,51.1017,0.78366,0.56022,1.41704,0.83314,0.8306,0.88075,0.64151,0.97099,0.8197,1.66397,0.0016964,0.0016964,0.0016964
48,52.0745,0.77956,0.62898,1.41014,0.84397,0.81282,0.87871,0.64694,0.96447,0.79291,1.65099,0.0016898,0.0016898,0.0016898
49,53.0542,0.76493,0.56246,1.349,0.81603,0.83621,0.87347,0.64389,0.95853,0.80385,1.62243,0.0016832,0.0016832,0.0016832
50,54.0236,0.75898,0.568,1.3694,0.86365,0.7788,0.87325,0.64659,0.94179,0.80654,1.60856,0.0016766,0.0016766,0.0016766
51,55.0037,0.77666,0.58878,1.42667,0.84065,0.79918,0.8756,0.64363,0.94133,0.79805,1.61624,0.00167,0.00167,0.00167
52,56.0065,0.72811,0.54483,1.33111,0.82228,0.80464,0.87164,0.63375,0.98416,0.79319,1.67188,0.0016634,0.0016634,0.0016634
53,56.965,0.75304,0.56878,1.42278,0.84423,0.77003,0.87065,0.63571,1.01479,0.79771,1.68362,0.0016568,0.0016568,0.0016568
